,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,716.0,595.0,734.0,1129
Expenses,954.0,964.0,1032.0,1300
Operating Profit,-237.0,-369.0,-299.0,-172
OPM %,-33.0,-62.0,-41.0,-15
Other Income,99.0,63.0,53.0,38
Interest,240.0,272.0,341.0,288
Depreciation,93.0,91.0,105.0,106
Profit before tax,-472.0,-670.0,-692.0,-528
Tax %,30.0,26.0,4.0,
Net Profit,-331.0,-495.0,-664.0,-522
EPS in Rs,-156.8,-257.0,-319.1,-269.48
