,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,52.53,35.09,41.76,61.17,62.15,52.36,60.5,57.56,52.28
Expenses,48.28,35.68,40.62,54.04,57.12,44.93,55.45,50.6,48.72
Operating Profit,4.25,-0.59,1.14,7.13,5.03,7.43,5.05,6.96,3.56
OPM %,8.09,-1.68,2.73,11.66,8.09,14.19,8.35,12.09,6.81
Other Income,0.15,0.12,0.3,0.04,0.26,0.29,0.34,0.12,0.1
Interest,0.77,0.74,0.7,0.83,0.8,1.09,1.25,0.69,0.53
Depreciation,1.73,1.75,1.84,1.7,1.65,1.7,1.77,1.49,1.55
Profit before tax,1.9,-2.96,-1.1,4.64,2.84,4.93,2.37,4.9,1.58
Tax %,28.42,26.35,23.64,27.8,27.82,27.59,35.02,27.55,29.11
Net Profit,1.36,-2.17,-0.84,3.35,2.05,3.56,1.53,3.56,1.13
EPS in Rs,1.35,-2.14,-0.83,3.3,2.02,3.51,1.26,2.94,0.93
