,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.00,0.00,0.00,0.00,0.0,6.31,4.61,2.39,0.00,0.00,2.57,0.00,2.3
Expenses,0.18,0.44,0.36,0.12,0.23,6.36,4.78,2.4,0.17,0.18,2.72,0.60,2.67
Operating Profit,-0.18,-0.44,-0.36,-0.12,-0.23,-0.05,-0.17,-0.01,-0.17,-0.18,-0.15,-0.60,-0.37
OPM %,,,,,,-0.79,-3.69,-0.42,,,-5.84,,-16.09
Other Income,0.00,42.30,0.20,0.25,0.23,0.15,0.28,0.53,0.43,0.29,0.27,0.33,0.45
Interest,0.32,0.23,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.00,0.0
Depreciation,0.01,0.01,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.00,0.0
Profit before tax,-0.51,41.62,-0.16,0.13,0.0,0.1,0.11,0.52,0.26,0.11,0.12,-0.27,0.08
Tax %,0.00,14.90,575.00,38.46,,0.0,518.18,7.69,26.92,27.27,66.67,-18.52,-112.5
Net Profit,-0.51,35.43,0.75,0.08,-0.03,0.09,-0.46,0.49,0.19,0.07,0.04,-0.32,0.17
EPS in Rs,-0.95,65.65,1.39,0.15,-0.06,0.17,-0.85,0.91,0.35,0.13,0.07,-0.59,0.32
