,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.24,1.24,1.24,1.24,1.24,12.19,12.19
Reserves,11.57,15.08,10.95,13.92,20.32,29.23,35.71
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,2.25,2.53,0.99,1.26,2.2,1.66,2.08
Total Liabilities,15.06,18.85,13.18,16.42,23.76,43.08,49.98
Fixed Assets,2.83,0.12,0.12,0.12,0.03,0.03,0.09
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,10.02,10.96,3.84,7.4,8.97,12.53,14.39
Other Assets,2.21,7.77,9.22,8.9,14.76,30.52,35.5
Total Assets,15.06,18.85,13.18,16.42,23.76,43.08,49.98
