,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,1.74,1.91,1.01,0.48,9.40,5.2
Expenses,1.75,2.10,1.31,0.75,4.91,5.33
Operating Profit,-0.01,-0.19,-0.30,-0.27,4.49,-0.13
OPM %,-0.57,-9.95,-29.70,-56.25,47.77,-2.5
Other Income,0.11,3.05,0.65,0.48,1.33,1.2
Interest,0.00,0.00,0.00,0.00,0.00,0.0
Depreciation,0.03,0.02,0.00,0.00,0.00,0.0
Profit before tax,0.07,2.84,0.35,0.21,5.82,1.07
Tax %,-114.29,2.46,37.14,28.57,26.98,32.71
Net Profit,0.15,2.77,0.22,0.15,4.25,0.71
EPS in Rs,,,,,,0.29
