,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,10.49,0.00,14.46,0.0,0.00,34.39
Inventory Days,0.0,0.00,730.0,1551.25,,2.22
Days Payable,,,54.75,0.0,,0.0
Cash Conversion Cycle,10.49,0.00,689.71,1551.25,0.00,36.61
Working Capital Days,295.78,1312.85,3194.65,6623.23,519.15,1215.73
ROCE %,,0.21,2.46,1.54,31.70,3.24
