,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,17.17,24.01,27.54,21.52,18.01,15.16,32.72,24.6,15.55,10.3,14.26,12.04,23.54
Expenses,13.14,18.04,22.44,16.87,13.43,8.32,33.64,24.42,14.84,7.06,17.28,13.17,22.85
Operating Profit,4.03,5.97,5.1,4.65,4.58,6.84,-0.92,0.18,0.71,3.24,-3.02,-1.13,0.69
OPM %,23.47,24.86,18.52,21.61,25.43,45.12,-2.81,0.73,4.57,31.46,-21.18,-9.39,2.93
Other Income,0.52,0.75,0.6,0.6,0.63,0.7,0.68,0.4,0.35,0.73,0.53,0.71,0.63
Interest,0.04,0.06,0.4,0.58,0.41,0.25,0.53,0.23,0.29,0.55,0.55,0.61,0.68
Depreciation,0.51,0.5,0.51,0.54,0.55,0.55,0.59,0.68,0.68,0.68,0.7,0.7,0.7
Profit before tax,4.0,6.16,4.79,4.13,4.25,6.74,-1.36,-0.33,0.09,2.74,-3.74,-1.73,-0.06
Tax %,25.25,24.84,27.14,25.18,25.18,25.22,11.76,-18.18,122.22,19.34,19.79,-2.31,-433.33
Net Profit,3.0,4.62,3.49,3.09,3.19,5.04,-1.21,-0.39,-0.02,2.21,-3.01,-1.77,-0.32
EPS in Rs,1.88,2.89,2.19,1.94,2.0,3.16,-0.71,-0.21,-0.01,1.2,-1.44,-0.84,-0.15
