,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,67.32,72.0,74.68,49.91,61.42,66.6,72.15,66.81,80.15,81.75,87.4,64.68,60.14
Expenses,58.26,65.43,65.66,47.42,55.07,55.55,66.72,59.15,69.59,64.03,72.25,63.54,60.36
Operating Profit,9.06,6.57,9.02,2.49,6.35,11.05,5.43,7.66,10.56,17.72,15.15,1.14,-0.22
OPM %,13.46,9.12,12.08,4.99,10.34,16.59,7.53,11.47,13.18,21.68,17.33,1.76,-0.37
Other Income,0.17,-3.09,0.62,0.53,1.18,1.14,2.14,1.26,2.35,2.24,2.6,2.01,2.60
Interest,1.34,1.26,0.52,0.48,0.91,0.82,0.8,1.06,0.9,0.72,1.77,1.64,2.39
Depreciation,2.08,2.29,2.08,1.07,1.41,1.55,0.84,1.27,1.78,2.02,2.22,2.74,2.78
Profit before tax,5.81,-0.07,7.04,1.47,5.21,9.82,5.93,6.59,10.23,17.22,13.76,-1.23,-2.79
Tax %,18.76,1271.43,9.23,-46.94,25.53,42.97,43.17,34.29,19.84,25.61,26.53,2.44,
Net Profit,4.72,0.83,6.4,2.17,3.88,5.6,3.36,4.33,8.21,12.81,10.11,-1.2,-2.89
EPS in Rs,2.86,0.5,3.88,1.32,2.35,3.41,2.05,2.64,5.14,8.02,5.96,-0.57,-1.23
