,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,326.0,364.0,365.0,285.0,394.0,412.0,445.0,439.0,448.0,497.0,470.0,474.0,474.0
Expenses,282.0,308.0,322.0,258.0,356.0,376.0,399.0,399.0,420.0,463.0,429.0,435.0,433.0
Operating Profit,45.0,56.0,43.0,27.0,38.0,36.0,45.0,40.0,28.0,34.0,41.0,39.0,42.0
OPM %,14.0,15.0,12.0,10.0,10.0,9.0,10.0,9.0,6.0,7.0,9.0,8.0,9.0
Other Income,11.0,9.0,10.0,5.0,8.0,8.0,8.0,6.0,4.0,6.0,6.0,8.0,8.0
Interest,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Profit before tax,52.0,61.0,49.0,28.0,43.0,40.0,49.0,42.0,28.0,35.0,43.0,42.0,45.0
Tax %,24.0,22.0,25.0,18.0,25.0,25.0,23.0,19.0,26.0,26.0,19.0,26.0,22.0
Net Profit,40.0,48.0,37.0,23.0,32.0,30.0,38.0,34.0,20.0,26.0,34.0,31.0,35.0
EPS in Rs,22.61,27.25,20.95,13.08,18.37,17.35,21.69,19.35,11.73,14.89,19.74,17.9,20.21
