,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,85,26,30,80,127,35,94,79,133,69,93,103
Cash from Investing Activity,-59,-2,-2,45,-7,24,-86,-1,-49,39,37,6
Cash from Financing Activity,-7,-10,-12,-20,-36,-56,-58,-110,-80,-102,-142,-81
Net Cash Flow,18,14,16,105,83,2,-49,-31,4,6,-11,28
