,2022-09-01,2023-09-01
Sales,13.43,12.18
Expenses,12.73,11.6
Operating Profit,0.7,0.58
OPM %,5.21,4.76
Other Income,0.21,0.58
Interest,0.01,0.13
Depreciation,0.03,0.13
Profit before tax,0.87,0.9
Tax %,24.14,26.67
Net Profit,0.65,0.66
EPS in Rs,5.38,3.78
