,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,7.28,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08
Reserves,0.4,0.21,0.0,-0.22,-0.34,-0.61,-1.52,-1.88,-6.51,-6.6,-6.79,-6.95
Borrowings,2.67,1.67,1.65,1.69,1.29,1.5,1.45,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.24,0.16,0.04,0.04,0.02,0.02,0.04,1.79,2.0,2.33,2.31,2.43
Total Liabilities,10.59,10.12,9.77,9.59,9.05,8.99,8.05,7.99,3.5700000000000003,3.81,3.6,3.56
Fixed Assets,1.67,1.62,1.57,1.5,1.02,1.08,1.01,1.0,1.03,1.03,1.03,1.03
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,8.92,8.5,8.2,8.09,8.03,7.91,7.04,6.99,2.54,2.78,2.5700000000000003,2.53
Total Assets,10.59,10.12,9.77,9.59,9.05,8.99,8.05,7.99,3.5700000000000003,3.81,3.6,3.56
