,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,14,14,14,14,14,14,14,14,14
Reserves,192,223,256,281,289,292,290,281,279
Borrowings,74,52,30,25,22,52,110,152,158
Other Liabilities,48,64,87,95,80,85,86,102,98
Total Liabilities,328,353,386,415,406,443,500,548,549
Fixed Assets,217,197,211,237,230,244,284,319,316
CWIP,1,3,12,2,8,20,21,11,16
Investments,2,49,49,49,48,46,46,42,43
Other Assets,108,103,115,127,119,133,148,177,174
Total Assets,328,353,386,415,406,443,500,548,549
