,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1115.0,861.0,1010.0,1082.0,1081.0,1297.0,1185.0,1233.0,1220
Expenses,1031.0,783.0,1059.0,997.0,1025.0,1232.0,1135.0,1224.0,1211
Operating Profit,84.0,78.0,-49.0,85.0,57.0,65.0,51.0,9.0,10
OPM %,8.0,9.0,-5.0,8.0,5.0,5.0,4.0,1.0,1
Other Income,9.0,37.0,2.0,-7.0,4.0,4.0,-8.0,18.0,21
Interest,140.0,123.0,72.0,57.0,52.0,50.0,45.0,25.0,26
Depreciation,66.0,47.0,58.0,48.0,47.0,46.0,42.0,32.0,30
Profit before tax,-113.0,-55.0,-177.0,-27.0,-38.0,-27.0,-45.0,-31.0,-26
Tax %,-1.0,1.0,-3.0,-17.0,-0.0,-1.0,-3.0,-1.0,
Net Profit,-114.0,-54.0,-182.0,-31.0,-38.0,-27.0,-46.0,-31.0,-25
EPS in Rs,-29.88,-14.4,-48.43,-9.38,-8.32,-5.31,-9.65,-7.48,-6.11
