,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,37,37,39,41,41,41,41,41,41
Reserves,278,201,2,-32,-68,-89,-128,-160,-211
Borrowings,1378,1013,1168,1134,1106,1071,1035,1030,1028
Other Liabilities,787,863,943,1189,1315,1246,1170,1178,870
Total Liabilities,2480,2114,2152,2333,2394,2268,2118,2089,1729
Fixed Assets,1894,1353,1649,1596,1552,1519,1471,1449,1436
CWIP,8,14,2,1,8,1,4,3,7
Investments,19,140,7,3,6,0,7,7,7
Other Assets,559,607,495,732,828,749,636,631,278
Total Assets,2480,2114,2152,2333,2394,2268,2118,2089,1729
