,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,0,-7,51,-2,43,65
Cash from Investing Activity,0,-28,-38,-105,9,-66
Cash from Financing Activity,0,35,14,81,-40,-9
Net Cash Flow,0,0,27,-26,12,-10
