,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.0,7.0,6.0,13.0,162.0,351.0,414
Expenses,2.0,4.0,5.0,6.0,138.0,267.0,312
Operating Profit,0.0,3.0,1.0,7.0,24.0,84.0,102
OPM %,25.0,45.0,15.0,54.0,15.0,24.0,25
Other Income,0.0,1.0,1.0,2.0,8.0,2.0,2
Interest,0.0,2.0,3.0,4.0,7.0,5.0,6
Depreciation,0.0,1.0,1.0,2.0,4.0,3.0,4
Profit before tax,0.0,1.0,-3.0,3.0,21.0,77.0,94
Tax %,79.0,334.0,-26.0,170.0,58.0,28.0,
Net Profit,0.0,-2.0,-3.0,-2.0,9.0,55.0,67
EPS in Rs,0.09,-1.91,-1.53,-1.14,4.13,26.63,32.08
