,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,0.4,0.05,0.26,0.98,0.99,0.8,0.65,0.04,0.27,2.4
Expenses,0.87,0.06,0.44,1.05,0.88,0.76,5.15,0.44,1.22,2.85
Operating Profit,-0.47,-0.01,-0.18,-0.07,0.11,0.04,-4.5,-0.4,-0.95,-0.45
OPM %,-117.5,-20.0,-69.23,-7.14,11.11,5.0,-692.31,-1000.0,-351.85,-18.75
Other Income,0.36,0.02,0.06,0.08,-0.02,0.07,0.11,0.45,0.58,0.5
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
Profit before tax,-0.11,0.01,-0.12,0.01,0.09,0.11,-4.39,0.05,-0.38,0.04
Tax %,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,-0.09,0.01,-0.12,0.0,0.09,0.11,-4.39,0.04,-0.38,0.04
EPS in Rs,-0.04,0.0,-0.05,0.0,0.04,0.05,-1.8,0.02,-0.16,0.02
