,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,73.55,73.62,74.56,74.56,74.56,74.56,74.56,74.56
DIIs,0.28,0.41,0.29,0.0,0.0,0.0,0.0,0.0
Public,26.16,25.97,25.15,25.44,25.44,25.43,25.45,25.44
No. of Shareholders,8602.0,10375.0,10623.0,9784.0,11745.0,10562.0,15045.0,16890.0
