,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,26.58,26.54,39.36,28.71,20.9,19.6,27.58,25.48,22.09,14.58,23.28,39.09,23.01
Expenses,25.17,25.42,38.04,27.49,19.43,18.28,23.7,24.77,21.39,13.94,22.65,38.13,22.94
Operating Profit,1.41,1.12,1.32,1.22,1.47,1.32,3.88,0.71,0.7,0.64,0.63,0.96,0.07
OPM %,5.3,4.22,3.35,4.25,7.03,6.73,14.07,2.79,3.17,4.39,2.71,2.46,0.30
Other Income,0.41,0.41,0.42,0.54,0.14,0.12,0.09,0.03,0.02,0.07,0.04,1.36,1.26
Interest,0.75,0.54,0.81,0.93,0.91,0.85,0.56,0.43,0.41,0.41,0.4,0.43,0.39
Depreciation,0.86,0.76,0.77,0.68,0.65,0.54,0.12,0.12,0.13,0.15,0.07,0.15,0.19
Profit before tax,0.21,0.23,0.16,0.15,0.05,0.05,3.29,0.19,0.18,0.15,0.2,1.74,0.75
Tax %,38.1,39.13,18.75,33.33,60.0,40.0,0.0,0.0,0.0,0.0,0.0,18.39,
Net Profit,0.13,0.14,0.13,0.1,0.03,0.04,3.28,0.19,0.18,0.15,0.2,1.42,0.75
EPS in Rs,0.21,0.23,0.21,0.16,0.05,0.07,5.38,0.31,0.3,0.25,0.33,2.33,1.23
