,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,351.38,359.20,347.65,505.86,495.7,515.07,593.54,803.23,583.29,538.18
Expenses,318.40,346.68,312.16,404.15,463.8,492.7,559.24,687.04,542.75,519.02
Operating Profit,32.98,12.52,35.49,101.71,31.9,22.37,34.3,116.19,40.54,19.16
OPM %,9.39,3.49,10.21,20.11,6.44,4.34,5.78,14.47,6.95,3.56
Other Income,2.05,0.94,0.36,4.34,2.51,6.19,0.98,1.74,2.35,0.62
Interest,10.48,5.98,2.90,10.33,14.33,9.12,4.87,12.53,13.32,8.81
Depreciation,7.35,5.68,8.34,9.92,8.45,8.74,10.22,13.11,11.08,10.49
Profit before tax,17.20,1.80,24.61,85.80,11.63,10.7,20.19,92.29,18.49,0.48
Tax %,19.88,118.89,27.14,17.30,29.06,27.94,25.8,13.1,31.53,87.5
Net Profit,13.78,-0.34,17.92,70.96,8.25,7.71,14.98,80.2,12.66,0.06
EPS in Rs,,,,,1.24,1.16,2.26,12.08,1.91,0.01
