,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0,1564,2408.0,2518
Expenses,0,1381,2203.0,2308
Operating Profit,-0,183,205.0,210
OPM %,,12,8.0,8
Other Income,0,8,11.0,6
Interest,0,30,41.0,40
Depreciation,0,31,41.0,45
Profit before tax,-0,129,135.0,131
Tax %,0,21,18.0,
Net Profit,-0,102,111.0,108
EPS in Rs,,,16.74,16.26
