,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,433.0,437.0,397.0,414.0,570.0,503.0,458.0,477.0,598.0
Expenses,387.0,413.0,357.0,382.0,505.0,454.0,400.0,413.0,511.0
Operating Profit,46.0,24.0,40.0,31.0,65.0,49.0,58.0,64.0,87.0
OPM %,11.0,5.0,10.0,8.0,11.0,10.0,13.0,13.0,14.0
Other Income,3.0,2.0,8.0,5.0,6.0,4.0,5.0,9.0,7.0
Interest,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Depreciation,9.0,9.0,10.0,10.0,10.0,11.0,10.0,11.0,13.0
Profit before tax,39.0,16.0,35.0,24.0,58.0,40.0,51.0,60.0,78.0
Tax %,23.0,32.0,26.0,25.0,26.0,25.0,28.0,25.0,22.0
Net Profit,30.0,11.0,26.0,18.0,43.0,30.0,37.0,45.0,61.0
EPS in Rs,12.17,0.43,1.06,0.71,1.74,1.19,1.47,1.79,2.45
