,2014-03-01,2015-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3,3,3,3,3,3,3,16,16,16
Reserves,7,7,9,10,11,21,23,12,13,7
Borrowings,8,15,25,27,26,50,50,54,59,73
Other Liabilities,5,6,16,8,18,42,50,59,69,70
Total Liabilities,23,32,53,48,59,117,126,140,157,166
Fixed Assets,6,7,11,12,14,26,28,18,30,29
CWIP,0,0,1,0,0,4,3,8,0,0
Investments,4,4,5,6,7,2,2,2,2,2
Other Assets,12,21,36,31,37,85,93,112,125,135
Total Assets,23,32,53,48,59,117,126,140,157,166
