,Mar 2014,Mar 2015,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,35.0,50.0,72.0,65.0,65.0,166.0,142.0,159.0,237.0,254
Expenses,33.0,47.0,69.0,61.0,60.0,158.0,131.0,148.0,227.0,245
Operating Profit,2.0,3.0,3.0,4.0,5.0,8.0,11.0,10.0,10.0,10
OPM %,6.0,5.0,4.0,6.0,8.0,5.0,8.0,6.0,4.0,4
Other Income,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2
Interest,1.0,1.0,2.0,3.0,3.0,5.0,6.0,5.0,6.0,7
Depreciation,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,3
Profit before tax,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1
Tax %,40.0,48.0,29.0,8.0,43.0,37.0,27.0,25.0,31.0,
Net Profit,0.0,0.0,1.0,1.0,-0.0,2.0,2.0,1.0,2.0,1
EPS in Rs,0.21,0.14,0.46,0.41,-0.01,1.28,1.1,0.86,1.05,0.46
