,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,23.88,23.88,23.88,23.83,20.97,20.97,14.7,10.76,9.52
FIIs,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0
Public,76.12,76.12,76.12,76.16,79.02,79.02,85.3,89.24,90.47
No. of Shareholders,6463.0,6534.0,6476.0,6466.0,6390.0,2386.0,5157.0,5699.0,6457.0
