,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,8,8,8,8,8,8,8,8,8
Reserves,0,115,153,199,260,330,426,528,589,652
Borrowings,0,41,32,41,10,4,2,1,7,11
Other Liabilities,0,35,52,96,102,90,110,120,132,125
Total Liabilities,0,198,244,344,379,432,547,657,735,795
Fixed Assets,0,64,97,162,173,185,228,320,374,377
CWIP,0,9,8,0,1,23,28,6,61,70
Investments,0,0,0,0,1,30,60,88,33,47
Other Assets,0,126,139,182,203,194,231,243,267,301
Total Assets,0,198,244,344,379,432,547,657,735,795
