,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,74.93,74.93,74.93,74.93,74.93,74.93,74.93,74.93,74.93,74.93,74.93,74.93
FIIs,0.12,0.28,0.41,1.43,1.73,2.11,2.4,2.88,3.24,2.83,3.36,3.09
DIIs,17.76,17.52,17.92,17.56,17.38,16.38,14.59,13.0,12.39,14.1,13.78,12.81
Government,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
Public,7.2,7.27,6.75,6.08,5.96,6.59,8.08,9.18,9.43,8.15,7.92,9.17
No. of Shareholders,128453.0,131209.0,124303.0,116642.0,110498.0,112648.0,155036.0,169869.0,177596.0,166501.0,167183.0,196566.0
