,2012-03-01,2013-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,115,115,115,98,122,183,183,183,183,183,183,183
Reserves,617,936,1538,1753,2073,1773,2085,2424,2501,2847,3028,3190
Borrowings,0,0,0,4,4,4,5,15,11,10,9,4
Other Liabilities,5694,6199,6759,7786,6208,4697,3250,3128,3334,3595,5535,5919
Total Liabilities,6427,7251,8412,9641,8407,6657,5523,5750,6030,6636,8756,9297
Fixed Assets,212,277,518,697,757,868,957,932,915,874,809,823
CWIP,45,70,142,126,136,130,47,42,22,41,74,55
Investments,1,1,3,3,3,239,4,4,5,0,0,0
Other Assets,6169,6904,7749,8815,7511,5420,4516,4771,5089,5721,7873,8419
Total Assets,6427,7251,8412,9641,8407,6657,5523,5750,6030,6636,8756,9297
