,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,1,1,16,22
Reserves,28,38,47,57,62,114
Borrowings,26,40,47,38,84,65
Other Liabilities,52,60,76,62,89,189
Total Liabilities,107,140,171,158,251,389
Fixed Assets,14,13,13,13,15,14
CWIP,0,0,0,0,0,1
Investments,0,0,0,1,2,2
Other Assets,92,126,158,144,235,373
Total Assets,107,140,171,158,251,389
