,2011-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,16,0,32,32,31,31,31,31,31
Reserves,863,4814,5075,5347,5684,5667,5518,5778,5739
Borrowings,868,950,1095,1042,1357,1589,1830,2209,2308
Other Liabilities,334,811,967,899,1121,1068,1255,1421,1422
Total Liabilities,2081,6574,7169,7321,8193,8356,8634,9439,9501
Fixed Assets,1012,4852,5066,5098,5678,5698,5773,6188,6364
CWIP,307,133,151,175,234,486,780,1043,909
Investments,1,40,196,167,191,172,324,249,145
Other Assets,761,1550,1757,1881,2091,2000,1758,1959,2083
Total Assets,2081,6574,7169,7321,8193,8356,8634,9439,9501
