,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,16,16,16,16,19,19,19
Reserves,181,825,1065,646,898,-244,-419
Borrowings,184,2228,1234,479,446,2030,2220
Other Liabilities,4540,2323,2719,2568,2137,1386,2193
Total Liabilities,4920,5392,5034,3709,3500,3190,4013
Fixed Assets,21,31,45,46,42,44,64
CWIP,3,0,4,0,0,0,0
Investments,0,0,0,0,0,0,0
Other Assets,4896,5360,4985,3663,3457,3146,3949
Total Assets,4920,5392,5034,3709,3500,3190,4013
