,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6872.0,8240.0,5575.0,5081.0,5199.0,2015.0,1770
Expenses,6330.0,7582.0,5246.0,5458.0,6102.0,3139.0,2222
Operating Profit,542.0,658.0,329.0,-377.0,-903.0,-1124.0,-452
OPM %,8.0,8.0,6.0,-7.0,-17.0,-56.0,-26
Other Income,13.0,209.0,303.0,158.0,95.0,111.0,33
Interest,23.0,100.0,220.0,105.0,87.0,151.0,224
Depreciation,3.0,8.0,14.0,17.0,15.0,15.0,16
Profit before tax,529.0,759.0,398.0,-340.0,-910.0,-1179.0,-658
Tax %,15.0,16.0,24.0,15.0,-1.0,0.0,
Net Profit,451.0,638.0,304.0,-290.0,-916.0,-1175.0,-670
EPS in Rs,281.98,39.85,19.34,-17.8,-47.94,-61.65,-35.24
