,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,32.32,37.51,36.64,40.31,43.27,45.98,34.59,32.45,35.34
Expenses,29.42,34.6,32.84,38.38,39.34,41.82,32.99,31.11,31.92
Operating Profit,2.9,2.91,3.8,1.93,3.93,4.16,1.6,1.34,3.42
OPM %,8.97,7.76,10.37,4.79,9.08,9.05,4.63,4.13,9.68
Other Income,0.27,0.36,0.4,0.97,0.71,0.45,0.31,0.37,0.76
Interest,0.0,0.0,0.0,0.24,0.2,0.22,0.21,0.25,0.19
Depreciation,0.54,0.57,0.58,0.42,0.69,0.65,0.84,0.6,0.6
Profit before tax,2.63,2.7,3.62,2.24,3.75,3.74,0.86,0.86,3.39
Tax %,24.71,24.81,31.49,30.36,28.53,26.2,29.07,56.98,18.58
Net Profit,1.98,2.03,2.47,1.57,2.69,2.76,0.62,0.37,2.75
EPS in Rs,3.1,3.18,3.86,2.46,4.21,4.32,0.97,0.58,4.3
