,2022-06-01,2022-09-01,2023-03-01,2023-06-01,2023-09-01
Sales,11.98,15.56,13.64,16.29,16.3
Expenses,7.99,8.36,7.45,10.52,10.49
Operating Profit,3.99,7.2,6.19,5.77,5.81
OPM %,33.31,46.27,45.38,35.42,35.64
Other Income,-0.68,0.02,1.57,1.2,1.24
Interest,0.0,0.01,0.01,0.01,0.11
Depreciation,0.08,0.08,0.26,0.12,0.32
Profit before tax,3.23,7.13,7.49,6.84,6.62
Tax %,21.36,22.86,49.93,21.78,38.52
Net Profit,2.53,5.5,3.75,5.35,4.07
EPS in Rs,2.46,5.34,3.65,5.21,3.96
