,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,67.07,67.07,67.07,67.07,67.07,67.07,67.07,67.07
Government,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32
Public,29.62,29.62,29.62,29.62,29.62,29.62,29.62,29.62
No. of Shareholders,3186.0,3191.0,3190.0,3194.0,3182.0,3191.0,3208.0,3211.0
