,2022-09-01,2023-03-01,2023-09-01
Sales,16.05,12.75,12.78
Expenses,14.44,11.88,11.7
Operating Profit,1.61,0.87,1.08
OPM %,10.03,6.82,8.45
Other Income,-0.0,0.16,0.16
Interest,0.08,0.12,-0.0
Depreciation,0.04,0.15,0.2
Profit before tax,1.49,0.76,1.04
Tax %,28.86,13.16,25.96
Net Profit,1.06,0.67,0.77
EPS in Rs,3.18,1.33,1.53
