,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,61.71,60.10,55.81,90.86
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,61.71,60.10,55.81,90.86
Working Capital Days,84.9,71.51,29.51,62.77
ROCE %,,7.41,62.57,31.72
