,2019-12-01,2020-03-01,2020-09-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,24.10,18.51,16.47,2.1,15.13,12.56,31.66,0.66,4.46
Expenses,17.93,18.97,7.14,2.09,3.58,2.03,29.7,2.45,5.6
Operating Profit,6.17,-0.46,9.33,0.01,11.55,10.53,1.96,-1.79,-1.14
OPM %,25.60,-2.49,56.65,0.48,76.34,83.84,6.19,-271.21,-25.56
Other Income,0.85,0.71,0.41,9.09,0.28,0.3,0.43,0.33,0.31
Interest,0.11,-0.15,0.00,0.05,0.35,0.45,0.72,0.19,0.09
Depreciation,0.49,-0.39,0.22,0.13,0.13,0.13,0.13,0.18,0.19
Profit before tax,6.42,0.79,9.52,8.92,11.35,10.25,1.54,-1.83,-1.11
Tax %,21.81,54.43,29.31,29.15,29.07,29.27,-76.62,0.0,0.0
Net Profit,5.02,0.36,6.73,6.32,8.05,7.25,2.72,-1.83,-1.11
EPS in Rs,,,,14.62,18.62,16.77,6.29,-4.23,-2.57
