,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.0,66.83,61.45,49.34
Expenses,0.00,0.0,63.42,37.34,39.78
Operating Profit,0.00,0.0,3.41,24.11,9.56
OPM %,-2.21,,5.10,39.24,19.38
Other Income,0.00,0.0,6.54,10.1,1.37
Interest,0.00,0.0,0.00,1.64,1.45
Depreciation,0.00,0.0,0.45,0.52,0.63
Profit before tax,0.00,0.0,9.50,32.05,8.85
Tax %,21.03,,26.74,24.09,
Net Profit,0.00,0.0,6.95,24.33,7.03
EPS in Rs,,,,56.28,16.26
