,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,72,53,13,28
Cash from Investing Activity,-63,-18,-14,-3
Cash from Financing Activity,21,-23,-7,-4
Net Cash Flow,29,11,-8,20
