,2012-12-01,2013-12-01,2014-12-01,2015-12-01,2016-12-01,2017-12-01,2018-12-01,2019-12-01,2020-12-01,2021-12-01,2022-12-01,2023-06-01
Equity Capital,8,134,134,134,182,183,183,289,289,433,650,650.0
Reserves,145,82,9,91,1511,1587,1816,3040,3235,3647,4453,5839.0
Preference Capital,0,0,200,450,0,0,0,0,0,0,0,
Borrowings,1940,2332,2415,2077,2215,2654,2808,3417,3216,3387,3884,3726.0
Other Liabilities,460,439,733,2130,915,852,1192,1630,1707,2113,2632,3204.0
Total Liabilities,2553,2986,3292,4431,4824,5276,5998,8376,8447,9579,11618,13419.0
Fixed Assets,1713,2375,2355,3496,3716,3981,4387,6479,6409,6311,6932,8576.0
CWIP,189,27,25,38,96,145,352,64,67,497,607,531.0
Investments,0,1,304,3,7,8,11,0,0,0,0,8.0
Other Assets,651,583,608,894,1006,1141,1247,1833,1972,2772,4079,4303.0
Total Assets,2553,2986,3292,4431,4824,5276,5998,8376,8447,9579,11618,13419.0
