,2006-03-01,2007-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,11,11,21,21,21,21,21,21,21,21,21,21.0
Reserves,95,107,266,155,262,271,268,255,231,248,255,252.0
Preference Capital,0,0,2,2,0,14,12,12,12,12,12,
Borrowings,94,91,454,478,449,410,379,354,215,171,133,145.0
Other Liabilities,61,72,244,211,203,239,256,226,157,156,141,134.0
Total Liabilities,261,281,985,865,936,942,925,857,624,597,550,553.0
Fixed Assets,97,112,421,310,441,432,427,421,315,312,298,291.0
CWIP,13,10,11,4,9,17,14,15,14,12,11,10.0
Investments,25,13,28,28,29,34,29,17,8,3,0,0.0
Other Assets,126,145,525,522,457,460,454,404,287,271,241,252.0
Total Assets,261,281,985,865,936,942,925,857,624,597,550,553.0
