,2006-03-01,2007-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,35,42,38,40,47,69,102,73,68,69,48
Cash from Investing Activity,-22,-31,-44,-8,41,-14,-18,1,108,-2,11
Cash from Financing Activity,-15,-12,18,-30,-83,-74,-82,-73,-178,-68,-57
Net Cash Flow,-2,-1,13,3,5,-20,1,1,-2,-1,2
