,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,69,82,83,100
Reserves,7,75,114,330
Borrowings,26,47,52,71
Other Liabilities,70,79,121,155
Total Liabilities,171,284,371,656
Fixed Assets,42,42,48,48
CWIP,0,7,7,7
Investments,0,0,0,0
Other Assets,129,235,316,601
Total Assets,171,284,371,656
