,2021-03-01,2022-03-01,2023-03-01
Debtor Days,143.94,19.14,14.19
Inventory Days,182.5,78.46,34.16
Days Payable,36.5,191.03,131.26
Cash Conversion Cycle,289.94,-93.43,-82.91
Working Capital Days,169.65,-89.34,-58.04
ROCE %,,-14.92,-21.77
