,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.71,2.86,5.66,5.55
Expenses,1.11,3.97,6.85,6.56
Operating Profit,-0.4,-1.11,-1.19,-1.01
OPM %,-56.34,-38.81,-21.02,-18.20
Other Income,0.35,0.5,0.44,0.48
Interest,0.01,0.01,0.3,0.28
Depreciation,0.06,0.47,0.84,0.79
Profit before tax,-0.12,-1.09,-1.89,-1.60
Tax %,16.67,8.26,3.17,
Net Profit,-0.11,-0.99,-1.82,-1.66
EPS in Rs,-0.28,-1.85,-3.0,-2.87
