,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.19,0.03,0.52,1.32,0.99,1.36,1.42,1.44,1.44,1.22,1.45
Expenses,0.25,0.18,0.78,1.64,1.39,1.68,1.77,1.71,1.7,1.6,1.55
Operating Profit,-0.06,-0.15,-0.26,-0.32,-0.4,-0.32,-0.35,-0.27,-0.26,-0.38,-0.1
OPM %,-31.58,-500.0,-50.0,-24.24,-40.4,-23.53,-24.65,-18.75,-18.06,-31.15,-6.9
Other Income,0.09,0.08,0.07,0.03,0.18,0.09,0.09,0.14,0.13,0.15,0.06
Interest,0.00,0.0,0.09,0.04,-0.28,0.08,0.07,0.07,0.08,0.08,0.05
Depreciation,0.03,0.0,0.15,0.18,0.13,0.19,0.2,0.21,0.23,0.16,0.19
Profit before tax,0.00,-0.07,-0.43,-0.51,-0.07,-0.5,-0.53,-0.41,-0.44,-0.47,-0.28
Tax %,,0.0,-2.33,0.0,142.86,0.0,0.0,0.0,-13.64,0.0,0.0
Net Profit,0.01,-0.07,-0.44,-0.52,0.03,-0.5,-0.53,-0.4,-0.5,-0.47,-0.29
EPS in Rs,0.02,-0.18,-0.72,-0.78,0.05,-0.75,-0.8,-0.6,-0.8,-0.75,-0.72
