,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,9,9,9,9,12,12,12,13
Reserves,716,656,490,388,513,564,692,756
Borrowings,164,448,279,431,279,153,110,88
Other Liabilities,406,617,824,501,432,469,491,533
Total Liabilities,1295,1731,1602,1330,1235,1198,1306,1390
Fixed Assets,739,834,699,731,642,612,597,639
CWIP,27,70,14,22,20,8,15,14
Investments,0,2,3,5,1,2,5,6
Other Assets,529,825,887,571,573,576,689,730
Total Assets,1295,1731,1602,1330,1235,1198,1306,1390
