,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1473.0,1357.0,1814.0,1239.0,1413.0,1545.0,1959.0,2113
Expenses,1365.0,1300.0,1868.0,1227.0,1224.0,1362.0,1730.0,1869
Operating Profit,108.0,56.0,-54.0,13.0,189.0,183.0,229.0,243
OPM %,7.0,4.0,-3.0,1.0,13.0,12.0,12.0,12
Other Income,10.0,5.0,13.0,15.0,22.0,7.0,14.0,10
Interest,19.0,14.0,38.0,34.0,43.0,27.0,18.0,19
Depreciation,73.0,74.0,94.0,96.0,94.0,82.0,78.0,78
Profit before tax,26.0,-26.0,-173.0,-102.0,74.0,80.0,147.0,156
Tax %,65.0,-85.0,-1.0,3.0,44.0,36.0,15.0,
Net Profit,9.0,-49.0,-174.0,-99.0,42.0,51.0,125.0,122
EPS in Rs,0.76,-4.02,-14.26,-8.1,3.4,4.19,10.23,9.98
