,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,23,23,41,41,50,50,50
Reserves,0,75,94,82,101,118,108,68,63
Borrowings,0,116,107,85,48,19,20,22,1
Other Liabilities,0,37,63,69,42,29,31,24,52
Total Liabilities,0,228,287,258,232,208,209,164,166
Fixed Assets,0,119,170,162,152,143,137,119,115
CWIP,0,30,7,7,0,0,5,5,5
Investments,0,0,0,0,0,0,0,0,0
Other Assets,0,80,110,90,80,65,67,40,46
Total Assets,0,228,287,258,232,208,209,164,166
