,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,14.0,35.0,159.0,186.0
Expenses,26.0,45.0,85.0,138.0
Operating Profit,-12.0,-11.0,75.0,48.0
OPM %,-88.0,-31.0,47.0,26.0
Other Income,2.0,2.0,2.0,10.0
Interest,1.0,2.0,19.0,6.0
Depreciation,3.0,4.0,7.0,12.0
Profit before tax,-13.0,-14.0,50.0,41.0
Tax %,-0.0,-1.0,12.0,22.0
Net Profit,-13.0,-15.0,44.0,32.0
EPS in Rs,-1499.44,-1625.56,4862.98,14.99
