,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.62,16.22,7.66,2.39,14.63,36.0,60.79,32.51,53.91,70.68,101.06,95.57
Expenses,0.40,15.84,7.63,2.6,13.33,33.64,56.37,28.44,47.46,63.75,90.9,86.28
Operating Profit,0.22,0.38,0.03,-0.21,1.3,2.36,4.42,4.07,6.45,6.93,10.16,9.29
OPM %,35.48,2.34,0.39,-8.79,8.89,6.56,7.27,12.52,11.96,9.8,10.05,9.72
Other Income,0.00,0.11,-0.29,0.0,0.03,0.19,0.64,0.59,0.11,0.8,0.74,-0.23
Interest,0.17,0.61,0.45,0.1,0.36,0.69,0.91,1.07,1.31,1.39,1.62,1.57
Depreciation,0.05,0.28,0.2,0.0,0.03,0.1,0.16,0.48,1.26,1.24,1.27,1.27
Profit before tax,0.00,-0.4,-0.91,-0.31,0.94,1.76,3.99,3.11,3.99,5.1,8.01,6.22
Tax %,,10.0,-23.08,-19.35,17.02,9.66,11.28,12.86,10.78,9.41,7.74,
Net Profit,0.01,-0.36,-1.12,-0.36,0.77,1.59,2.32,2.72,3.56,4.62,7.39,5.93
EPS in Rs,0.03,-0.87,-3.14,-1.01,1.38,1.76,2.94,2.87,3.61,4.74,6.06,5.63
