,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,5.57,5.57,5.57,5.57,5.57,5.57,7.47,7.47
Reserves,0.39,0.04,-0.73,-1.09,3.68,5.91,7.75,9.61,10.86,13.94,23.49,26.62
Borrowings,1.18,5.46,1.05,0.6000000000000001,3.97,5.94,7.61,7.99,8.34,7.77,5.74,8.79
Other Liabilities,0.1,3.3,0.19,0.05,4.44,8.4,10.61,25.04,26.24,31.1,47.78,54.66
Total Liabilities,5.24,12.37,4.08,3.13,17.66,25.82,31.54,48.21,51.01,58.38,84.48,97.54
Fixed Assets,0.74,5.54,0.0,0.0,0.34,2.8,2.66,12.24,11.43,9.68,9.52,9.55
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.49,0.65,0.96,0.8300000000000001
Investments,2.36,1.2,0.0,0.0,0.24,2.16,2.49,2.11,1.27,0.0,0.0,0.0
Other Assets,2.14,5.63,4.08,3.13,17.08,20.86,26.39,33.57,37.82,48.05,74.0,87.16
Total Assets,5.24,12.37,4.08,3.13,17.66,25.82,31.54,48.21,51.01,58.38,84.48,97.54
