,2011-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49
Reserves,-1.76,-1.89,-1.76,-1.44,-1.41,-1.75,-0.5,-0.8300000000000001,-1.16,-1.18,-1.17,-1.26
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.15,0.08,0.0,0.14
Other Liabilities,0.05,0.14,1.11,1.15,0.36,0.35,0.59,0.65,0.47,0.43,0.49,0.37
Total Liabilities,2.78,2.74,3.84,4.2,3.44,3.09,4.71,4.31,3.95,3.82,3.81,3.74
Fixed Assets,1.71,1.43,1.39,1.34,1.3,1.26,2.11,2.05,2.0,1.97,1.92,1.88
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.62,0.66,1.73,1.77,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.45,0.65,0.72,1.09,0.86,1.83,2.6,2.26,1.95,1.85,1.89,1.86
Total Assets,2.78,2.74,3.84,4.2,3.44,3.09,4.71,4.31,3.95,3.82,3.81,3.74
