,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,27.08,30.52,39.99,52.59,51.51,56.71,56.55,62.61,65.23,50.16,71.07,88.47,92.34
Expenses,24.16,26.27,35.34,46.01,45.86,50.16,49.86,55.1,57.4,42.68,58.22,74.63,78.64
Operating Profit,2.92,4.25,4.65,6.58,5.65,6.55,6.69,7.51,7.83,7.48,12.85,13.84,13.70
OPM %,10.78,13.93,11.63,12.51,10.97,11.55,11.83,11.99,12.0,14.91,18.08,15.64,14.84
Other Income,0.19,0.08,0.66,-0.06,0.27,0.69,0.56,0.79,0.69,-0.92,2.21,-1.13,-0.99
Interest,1.24,1.33,1.45,1.51,1.54,1.01,0.92,1.24,1.58,0.65,0.89,1.61,1.51
Depreciation,0.61,0.9,0.96,1.27,1.29,1.37,1.49,1.55,1.62,1.61,1.84,2.45,3.10
Profit before tax,1.26,2.1,2.9,3.74,3.09,4.86,4.84,5.51,5.32,4.3,12.33,8.65,8.10
Tax %,35.71,32.86,32.76,33.16,35.28,32.72,28.93,28.13,23.31,28.14,25.3,25.78,
Net Profit,0.81,1.41,1.95,2.5,2.0,3.28,3.44,3.96,4.07,3.09,9.22,6.42,5.96
EPS in Rs,1.25,2.18,3.01,3.3,2.01,2.94,3.08,3.55,3.65,2.77,8.26,5.75,5.34
