,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,263.0,204.0,152.0,224.0,291.0,342.0,359.0,371.0,346.0
Expenses,253.0,202.0,146.0,210.0,274.0,329.0,326.0,354.0,338.0
Operating Profit,10.0,2.0,7.0,14.0,17.0,13.0,34.0,16.0,8.0
OPM %,4.0,1.0,4.0,6.0,6.0,4.0,9.0,4.0,2.0
Other Income,2.0,10.0,0.0,3.0,0.0,1.0,1.0,2.0,4.0
Interest,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
Depreciation,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0
Profit before tax,7.0,8.0,3.0,13.0,13.0,10.0,31.0,14.0,8.0
Tax %,14.0,28.0,13.0,26.0,25.0,23.0,25.0,26.0,25.0
Net Profit,6.0,6.0,3.0,10.0,10.0,8.0,23.0,10.0,6.0
EPS in Rs,5.23,4.95,2.64,8.62,8.51,6.86,19.83,9.06,4.99
