,2013-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,43,-2,15,24,19,76
Cash from Investing Activity,,-2,-6,-29,-26,-13,-50
Cash from Financing Activity,,-34,9,6,2,-3,-15
Net Cash Flow,,7,1,-9,1,2,10
