,Mar 2013,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,356.0,507.0,467.0,377.0,634.0,730.0,716
Expenses,0.0,333.0,481.0,455.0,356.0,603.0,680.0,692
Operating Profit,0.0,23.0,26.0,12.0,21.0,30.0,50.0,24
OPM %,,7.0,5.0,3.0,5.0,5.0,7.0,3
Other Income,0.0,4.0,9.0,12.0,3.0,2.0,3.0,5
Interest,0.0,4.0,2.0,4.0,2.0,4.0,4.0,3
Depreciation,0.0,4.0,5.0,5.0,5.0,5.0,5.0,5
Profit before tax,0.0,19.0,27.0,15.0,16.0,23.0,45.0,22
Tax %,,35.0,36.0,22.0,23.0,24.0,25.0,
Net Profit,0.0,12.0,18.0,12.0,12.0,18.0,33.0,16
EPS in Rs,,12.51,15.29,10.18,10.84,15.37,28.89,14.05
