,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,2.38,2.03,2.39,2.48,3.39,6.08,7.35,1.69,5.45,3.89,1.06,2.49
Expenses,2.37,2.03,2.35,2.44,3.35,5.97,7.29,1.74,5.41,3.88,0.96,2.27
Operating Profit,0.01,0.00,0.04,0.04,0.04,0.11,0.06,-0.05,0.04,0.01,0.1,0.22
OPM %,0.42,0.00,1.67,1.61,1.18,1.81,0.82,-2.96,0.73,0.26,9.43,8.84
Other Income,0.0,0.00,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.0
Interest,0.0,0.00,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
Depreciation,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.28
Profit before tax,0.01,0.00,0.04,0.04,0.04,0.11,0.06,-0.04,0.04,0.01,0.07,-0.06
Tax %,0.0,,25.0,25.0,25.0,27.27,16.67,0.0,25.0,0.0,28.57,33.33
Net Profit,0.01,0.00,0.03,0.03,0.03,0.08,0.04,-0.04,0.03,0.01,0.05,-0.04
EPS in Rs,0.03,0.00,0.1,0.1,0.1,0.25,0.13,-0.13,0.1,0.03,0.16,-0.13
