,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15
Reserves,-0.05,-0.05,-0.02,0.01,0.04,0.04,0.08,0.04,0.07,0.08,0.12,0.08
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1
Other Liabilities,0.03,0.26,0.02,0.02,0.17,0.97,0.43,1.35,0.03,3.32,0.14,0.32
Total Liabilities,3.13,3.36,3.15,3.18,3.36,4.16,3.66,4.54,3.25,6.55,3.46,3.65
Fixed Assets,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,1.33
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,3.1,3.1,3.1,3.1,0.0,0.0,0.3,0.3
Other Assets,3.12,3.35,3.14,3.18,0.26,1.06,0.56,1.44,3.25,6.55,1.75,2.02
Total Assets,3.13,3.36,3.15,3.18,3.36,4.16,3.66,4.54,3.25,6.55,3.46,3.65
