,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,132.0,10.0,4.0,7.0,9.0,15.0,12.0,17.0,18.0,46.0,39.0,32.0,25
Expenses,129.0,7.0,3.0,2.0,2.0,3.0,9.0,4.0,9.0,25.0,10.0,8.0,1
Operating Profit,4.0,4.0,1.0,5.0,7.0,11.0,4.0,13.0,9.0,21.0,29.0,24.0,24
OPM %,3.0,35.0,30.0,66.0,81.0,78.0,29.0,76.0,51.0,45.0,74.0,74.0,97
Other Income,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Interest,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Profit before tax,3.0,3.0,0.0,4.0,6.0,11.0,3.0,13.0,9.0,20.0,29.0,24.0,24
Tax %,11.0,12.0,86.0,12.0,2.0,14.0,17.0,0.0,5.0,27.0,24.0,21.0,
Net Profit,3.0,3.0,0.0,4.0,6.0,9.0,3.0,13.0,9.0,15.0,22.0,19.0,19
EPS in Rs,2.84,2.67,0.05,3.6,6.14,9.29,2.89,12.63,8.77,14.9,22.0,18.86,18.99
