,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.06,7.86,11.24,11.9,13.72,17.6,23.41,19.14,19.68,21.68,13.2,31.5,39.15
Expenses,7.95,8.24,11.27,11.85,12.67,15.78,20.15,17.09,18.59,20.25,16.3,27.18,32.07
Operating Profit,0.11,-0.38,-0.03,0.05,1.05,1.82,3.26,2.05,1.09,1.43,-3.1,4.32,7.08
OPM %,1.36,-4.83,-0.27,0.42,7.65,10.34,13.93,10.71,5.54,6.6,-23.48,13.71,18.08
Other Income,1.26,1.06,0.65,1.21,0.85,0.83,0.4,0.34,0.76,2.55,1.63,0.13,0.37
Interest,0.03,0.04,0.03,0.04,0.04,0.05,0.07,0.07,0.07,0.07,0.1,0.09,0.12
Depreciation,0.83,0.92,1.09,1.32,1.53,1.72,1.65,1.74,1.87,1.8,2.04,2.12,2.18
Profit before tax,0.51,-0.28,-0.5,-0.1,0.33,0.88,1.94,0.58,-0.09,2.11,-3.61,2.24,5.15
Tax %,27.45,32.14,20.0,160.0,30.3,30.68,33.51,25.86,88.89,23.7,27.15,25.0,
Net Profit,0.37,-0.19,-0.41,0.06,0.23,0.61,1.3,0.43,0.0,1.6,-2.63,1.68,3.94
EPS in Rs,0.5,-0.26,-0.57,0.08,0.32,0.84,1.8,0.6,0.0,2.21,-3.64,2.33,5.45
