,2011-03-01,2012-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,338.55,0.00,,0.00,75.61,148.46,142.07,164.10,346.32,278.03,299.02
Inventory Days,,,,,,,,,,,
Days Payable,,,,,,,,,,,
Cash Conversion Cycle,338.55,0.00,,0.00,75.61,148.46,142.07,164.10,346.32,278.03,299.02
Working Capital Days,682.39,228.67,,29.80,-118.07,167.18,126.69,134.62,280.95,238.78,337.62
ROCE %,,4.69,,11.67,223.24,33.80,17.63,6.95,9.64,9.11,21.17
